metodo,radio,Mc,a,b,R2,N_total,N_ajuste
GK,50KM,3.05,5.786543410139881,0.9836966284054175,0.9964140831102388,691,585
GK,260KM,3.05,6.7529610332452,0.8785903567918206,0.9953229440461908,16012,13630
GKL,50KM,3.05,5.786543410139881,0.9836966284054175,0.9964140831102388,691,585
GKL,260KM,3.05,6.744589747719146,0.8757672984394708,0.9955192839162184,16039,13657
NN,50KM,3.05,5.781032115032405,0.9825700340936232,0.9962965446762576,690,584
NN,260KM,3.05,6.758337531354563,0.876851064994431,0.995419475844023,16079,13697
PROPIO,50KM,3.05,5.784679521042662,0.981600967421999,0.9962584377400973,692,586
PROPIO,260KM,3.05,6.768672820994361,0.8773852023710756,0.9956676696220689,16132,13749
